History Maker Baseball,50,8.546000
Escape Team,11,8.545455
Magus: Aura Mortis,11,8.545455
Gruntz 15mm Sci-Fi,11,8.545455
The Great Race,11,8.545455
Combat!,40,8.543750
Terminator Genisys: Rise of the Resistance,45,8.541111
SEGUNDOS...fuera!,10,8.540000
The Red Dragon Inn 6: Villains,27,8.537037
"Last Blitzkrieg: Wacht am Rhein, The Battle of the Bulge",52,8.536538
1844: Schweiz,46,8.535870
Pitch'n Dunk,7,8.535714
Ligny & Wavre 1815: The Empire's Last Victories,15,8.533333
Star Fleet Battles Silver Anniversary Master Rulebook,16,8.531250
Forgotten Waters,53,8.531132
Exceed: Street Fighter – Ryu Box,22,8.529545
Enemy Action: Ardennes,59,8.525424
Havenfall,10,8.525000
Boss Quest,13,8.523077
A Song of Ice & Fire: Tabletop Miniatures Game – Stark vs Lannister Starter Set,58,8.522414
"The StoryMaster's Tales ""Weirding Woods"" Hybrid RPG",47,8.521277
Tenkatoitsu,44,8.520455
"Silver Bayonet: The First Team in Vietnam, 1965 (25th Anniversary Edition)",57,8.519298
Nidavellir,21,8.519048
Unmatched: Robin Hood vs. Bigfoot,45,8.517667
Twilight Struggle,83,8.515060
Space Hulk (Fourth Edition),61,8.511475
Rival Restaurants,61,8.506557
Fallen Land: A Post Apocalyptic Board Game,81,8.505556
Dawn of the Zeds (Third edition),58,8.505172
Summoner Wars: Alliances Master Set,70,8.505000
Panzer Squadron,2,8.500000
Stone Daze,14,8.500000
Gorilla Marketing,10,8.500000
Korsoun 1944,2,8.500000
Dingbats,2,8.500000
Fairy Trails,4,8.500000
Moop's Monster Mashup,2,8.500000
Super Farmer: The Card Game,9,8.500000
"Tall Bird, Short Bird",4,8.500000
Kampfgruppe Commander: Clash of Armor II – Fast-Playing Rules for Grand Tactical WWII Miniatures,2,8.500000
Fire and Fury:  Great Western Battles Scenario Book,4,8.500000
Thistle,2,8.500000
Board of Dreams,9,8.5
TurfMaster Course Collection 2,21,8.5
Towers of Hamburg,2,8.5
Alchemistry,8,8.5
Make a Mess: Holy Cat Edition,4,8.5
Adellos,10,8.5
Warring States,4,8.5
Omen: Heir to the Dunes,7,8.5
Remember When ...,9,8.5
18EC: USA East Coast,2,8.5
Sleeping Gods,1,8.5
Silent Death: Wings of Death,2,8.5
Commando Actions: A Game of Tactical Level Combat in World War II,2,8.5
Great Battles of World War Two: Volume I – The Canadians in Europe,4,8.5
The Koltov Corridor: Disaster at Brody July 1944,1,8.5
Érase una vez...,1,8.5
El Camarero,6,8.5
The Suits: Season 2,6,8.5
To Take Washington: Jubal Early's Summer 1864 Campaign,8,8.5
Sergeants! Scenarios Book 1,1,8.5
Movie Trailer,2,8.500000
Marvel: Crisis Protocol,40,8.500000
Haar Hoolim Perception Games,2,8.500000
Stalingrad: Pivot on the Volga,2,8.500000
Thunder on South Mountain,2,8.500000
Silent Death Tech: Warhounds,1,8.500000
Scam: The Game of International Dope Smuggling,2,8.500000
Krom,4,8.500000
Silent Death Annex: Operation – Dry Dock,2,8.500000
Hacienda (Second Edition),4,8.500000
ATS Briefing Sourcebook #2,4,8.500000
Slaughterloo,4,8.500000
Darklight: Memento Mori,71,8.498592
Gaslands: Post-Apocalyptic Vehicular Combat,72,8.497917
Ursa Miner,27,8.490741
Centrix,9,8.488889
Lock 'n Load Tactical: Heroes of the Pacific,22,8.488636
Borders of Kanta,23,8.486473
Virtue Signal: the Game of Social Justice,27,8.481481
Here I Stand (500th Anniversary Reprint Edition),56,8.480357
"Brazen Chariots: Battles for Tobruk, 1941",23,8.478261
Limbo: Eternal War,13,8.476923
Glory: A Game of Knights,41,8.475610
Battle Gnomes,20,8.475000
Stalingrad: Verdun on the Volga,22,8.472727
International Cricket,17,8.470588
Terraforming Mars,85,8.468118
Wreck and Ruin,25,8.466667
Concordia Venus,69,8.465942
Axis Empires: Totaler Krieg!,68,8.465588
Conflict of Alliances: Warring States,14,8.464286
Secrets of the Lost Station,17,8.464118
O Palácio do Marquês,12,8.462417
Blocks in Afrika,12,8.458333
Tyrant: Battles of Carthage versus Syracuse,52,8.457692
The Shores of Tripoli,69,8.457319
Free Market: NYC,18,8.455556
100 Swords: The Gold King's Dungeon,11,8.454545
Gloomhaven,81,8.451235
Age of Steam Expansion: Montréal Métro,59,8.450000
The Cloud Dungeon,10,8.450000
Chain of Command,30,8.450000
ATS: Facing the Blitz,10,8.450000
American Mah Jongg,10,8.450000
Stonne Heights,16,8.443750
Dino Dunk,20,8.442500
Paupers' Ladder,26,8.442308
TurfMaster Course Collection 1,36,8.437500
Andor Junior,8,8.437500
Tunisia II,35,8.437143
"Beyond the Rhine: The Campaign for Northwest Europe, September 1944 - April 1945",38,8.434211
Brew Dice,9,8.433333
Funkenschlag: EnBW,48,8.433333
Gaslands: Refuelled,37,8.432432
Nouvelle-France,7,8.428571
Classic Soccer,7,8.428571
"EuroFront: The War in Europe, 1936-45 – Second Edition",56,8.428571
Furry Foodies,7,8.428571
Big League Manager Baseball Game,7,8.428571
Hockey Blast Pro Hockey Game,21,8.425714
Warhammer Age of Sigmar: Warcry Starter Set,43,8.425581
Kerosene,45,8.422222
Middara: Unintentional Malum – Act 1,48,8.420625
Concordia,84,8.418452
Freeman's Farm 1777,18,8.417778
Arena Rex,18,8.416667
Ultimate Scheme,6,8.416667
Wander: The Cult of Barnacle Bay,36,8.416667
Era of Tribes,71,8.415775
Through the Ages: A New Story of Civilization,80,8.414875
Skull Tales,44,8.414773
"Crusade and Revolution: The Spanish Civil War, 1936-1939",62,8.414516
Hues and Cues,8,8.412500
Forestaurant,11,8.409091
Hyperspace,18,8.405556
HEXplore It: The Forests of Adrimon,33,8.403030
Commands & Colors: Ancients Expansion Pack #3 – The Roman Civil Wars,58,8.402586
Zombies!!! 13: DEFCON Z,5,8.400000
1870: Grand Tactical Rules for the Franco-Prussian War,5,8.400000
"Brandy Station: Cavalry vs Cavalry, June 1863",5,8.400000
Hard Vacuum: Science Gone Mad,10,8.400000
Federation Commander: Tholian Attack,5,8.400000
Murder at Blood Mansion,15,8.400000
"The Who, What or Where Game",5,8.400000
Roll n Cook,15,8.400000
Dux Britanniarum: Wargame Rules for Dark Age Warfare in the Age of Arthur,10,8.400000
IKAN,15,8.400000
Crowbar!: The Rangers at Pointe Du Hoc,16,8.390625
Twisty Little Passages,10,8.390000
"Last Chance for Victory: The Battle of Gettysburg, July 1-3, 1863",38,8.389474
"Interceptor Ace: Daylight Air Defense Over Germany, 1943-44",34,8.388235
Battlestar Galactica: Starship Battles – Starter Set,49,8.387755
Theosis,22,8.386364
Nevsky: Teutons and Rus in Collision 1240-1242,50,8.386000
Commands & Colors: Medieval,47,8.382979
Twilight Imperium (Third Edition): Shattered Empire,73,8.379452
The Castles of Burgundy,86,8.379070
"Warhammer 40,000: Dark Imperium",19,8.378947
Fleecing Olympus,14,8.378571
Consumption: Food and Choices,30,8.377316
Commands & Colors: Ancients Expansion Pack #2 – Rome vs the Barbarians,61,8.375410
Cthulhu: Death May Die,65,8.375385
Habitants & Highlanders,4,8.375000
Pig in the Garden,4,8.375000
Straszydła,4,8.375000
Soccer Replay,4,8.375000
Across the Pacific,20,8.375000
Dangerous Parallel,4,8.375000
Douro 1872,8,8.371250
Video Vortex,13,8.369231
Entrapment,52,8.367308
Case Blue,69,8.366667
Waterloo 1815: Fallen Eagles,49,8.365306
RobotLab: The Card Game,11,8.363636
Labyrinx,7,8.357143
"Saipan & Tinian: Island War Series, Volume I",7,8.357143
The Red Dragon Inn 7: The Tavern Crew,14,8.357143
Widget Ridge,14,8.357143
Song of Arthur and Merlin,7,8.357143
Oligarchy: A Dystopian card game,14,8.357143
Wavell's War,14,8.357143
Puzzle Dungeon,14,8.357143
"Barbarossa: Army Group North, 1941",38,8.356579
Dungeon Mayhem: Monster Madness,17,8.352941
Cthulhu Wars,75,8.350667
Kings of War (Second Edition),10,8.350000
Second Season Pro Football Game,44,8.350000
LANDER,29,8.348276
The 7th Continent,65,8.346615
Vikings: Raid & Conquer,19,8.345614
1822: The Railways of Great Britain,55,8.345273
Farm Rescue,8,8.343750
Aeon's End: War Eternal,69,8.341028
Manassas,22,8.340909
Whistling Death,77,8.339610
Hellenica: Story of Greece,46,8.339130
D-Day at Omaha Beach,62,8.336290
Commands & Colors: Ancients Expansion Pack #1 – Greece & Eastern Kingdoms,62,8.334677
Laga Jakarta,9,8.333333
Swivel,3,8.333333
"For God, King and Country:  A Guidebook to the English Civil Wars",3,8.333333
Hard Vacuum: War's End,3,8.333333
Wonderful Game of OZ,3,8.333333
World at War Update 2005 Pack,3,8.333333
Exchange,3,8.333333
Task Force: Carrier Battles in the Pacific,3,8.333333
Dien Bien Phu ATS Upgrade: French Indochina 1954,6,8.333333
The 1916 Brusilov Offensive / Gorlice-Tarnow Breakthrough,6,8.333333
Campaigns and Battles from the Age of Reason,3,8.333333
Verlorene Siege,3,8.333333
Whamgammon,3,8.333333
"Thunder in the Ozarks: Battle for Pea Ridge, March 1862",36,8.333333
Pusan Perimeter,3,8.333333
Krimi Total Fall 2: Im Schatten der Premiere,3,8.333333
Challenge the Yankees,3,8.333333
Advanced Squad Leader: Starter Kit #3,64,8.328125
Edgar & Lucien,12,8.325000
1849: The Game of Sicilian Railways,70,8.325000
Star Fleet Battles: Module Omega 1 – The Omega Sector,4,8.325000
Sleepers,17,8.323529
1914: Twilight in the East,51,8.323529
Mannerheim's Cross: Finland at War 1939-1945,13,8.323077
Human Punishment: Social Deduction 2.0,80,8.322500
Colour Chess + Lure,7,8.321429
Root,71,8.320000
Unconditional Surrender! World War 2 in Europe,60,8.320000
Combat Commander: Battle Pack #1 – Paratroopers,55,8.318182
The World of SMOG: Rise of Moloch,47,8.317021
Rap Godz,22,8.316818
Spirit Island,78,8.314615
Waterloo 1815: Napoleon's Last Battle,14,8.314286
Alakazum!: Witches and Traditions,8,8.312500
Twilight Imperium (Fourth Edition),80,8.312500
Semper Victor,8,8.312500
Battle for Biternia,16,8.312500
ATS: Axis Legion – Spanish Division Azul on the Eastern Front,8,8.312500
Shipwreck,8,8.312500
BattleCON: Trials of Indines,39,8.311026
Napoleon's Triumph,78,8.310897
Napoleon Saga,35,8.308571
Glyph Chess,13,8.307692
KINMO,24,8.302083
Mint Tin Pirates,74,8.301351
Pent-Up,15,8.300000
Three-Player Crokinole,5,8.300000
Next War: India-Pakistan,33,8.300000
Axles and Alloys,6,8.300000
Commands & Colors Tricorne: The American Revolution,63,8.298190
SiegeStorm: SiegeMode,52,8.298077
Bios: Origins (Second Edition),52,8.297885
The Silver River,47,8.297872
Warangel,84,8.297619
The Devil's Cauldron: The Battles for Arnhem and Nijmegen,76,8.293632
The Great Battles of Alexander: Macedonian Art of War,29,8.293103
Ligny 1815: Last Eagles,34,8.291176
Psycho Raiders,50,8.291000
Unknown,58,8.288793
A Feast for Odin,74,8.287432
Time Barons,55,8.287273
Wings of Glory: WW1 Rules and Accessories Pack,73,8.286986
Kanban EV,7,8.285714
Crossbows and Catapults: Dragon,7,8.285714
The Face of Battle,7,8.285714
Born to Serve,14,8.285714
Skirmish Wargaming,7,8.285714
1914: Offensive à outrance,39,8.284615
Churrascaria: A Cutthroat Game of Gluttony,15,8.283333
The Isle of Cats,75,8.281467
Sevilla 1503,5,8.280000
"Win, Don't Lose",23,8.278870
Clans of Caledonia,73,8.278082
All Things Zombie: Final Fade Out,9,8.277778
Regimental Fire and Fury,9,8.277778
Gutshot,18,8.277778
Monikers: More Monikers,22,8.277273
Dunkirk: France 1940,17,8.276471
Combat Commander: Pacific,65,8.276154
Doomed Battalions: ASL Module 11,45,8.275556
Unanimo Party,4,8.275000
Armies of Oblivion: ASL Module 12,49,8.274490
BattleCON: Fate of Indines,62,8.274194
Pegasus Bridge: ASL Historical Module 4,48,8.272917
"UltraQuest: Gold, Ruhm! und Ehre!",50,8.272000
Where Eagles Dare: The Battle for Hell's Highway,45,8.270356
Cloudspire,65,8.269949
Streets of Fire: ASL Deluxe Module 1,44,8.269318
Serbia the Defiant / Romania: Transylvanian Gambit,13,8.269231
Skies Above the Reich,68,8.269118
Air & Armor,49,8.267347
Longball,6,8.266667
Fire on the Volga,6,8.266667
Strange Aeons,15,8.266667
Maria,71,8.266197
Kingdom Death: Monster,80,8.264500
D.E.I.: Divide et Impera,14,8.264286
"Königsberg: The Soviet Attack on East Prussia, 1945",36,8.263889
Trophies,11,8.263636
B-17 Flying Fortress Leader,61,8.262295
Records of Three Kingdoms 190-280,5,8.260000
Dig Your Way Out,22,8.259091
Kaiju Siege,11,8.259091
Riichi Mahjong,37,8.258108
Star Fleet Battles: Module C1 – New Worlds 1,14,8.257143
The U.S. Civil War,57,8.254386
Bloody Monday,13,8.253846
Street Masters,68,8.253548
Wings of Glory: WW2 Battle of Britain Starter Set,41,8.251220
Word War: Competitive Crossword Game,2,8.250000
Victory By Any Means: Fire As She Bears Edition,2,8.250000
ROBOT RISE!,18,8.250000
Games of the World,6,8.250000
Ragadorn Alehouse Brawl,4,8.250000
Stock Market: The Wall Street Trading Game,4,8.250000
Avalanche: The Salerno Landings,8,8.250000
Rampaging Jotunn,22,8.250000
Bowl-O-Rama,4,8.250000
Goblins en la mina,10,8.250000
Lest Best,2,8.250000
Il Rischiatutto,4,8.250000
With Hostile Intent,2,8.250000
No Middle Ground,2,8.250000
Snakes Alive!,2,8.250000
Cry Havoc Scenario Book 2,4,8.250000
Say My Name,6,8.250000
Chu Shogi,14,8.250000
Frostgrave,73,8.250000
Bestiary of Sigillum,8,8.250000
Mint Tin Aliens,65,8.247692
Claustrophobia 1643,53,8.247421
Unlock!: Epic Adventures,24,8.247176
Hoplomachus: Rise of Rome,49,8.244898
Waterloo 200,35,8.244286
Yomi (second edition),74,8.243108
Super Fantasy Brawl,31,8.241935
Cave Evil,71,8.240704
1889: History of Shikoku Railways,86,8.240465
Folklore: The Affliction,59,8.240435
Arkham Horror: The Card Game,77,8.240260
Maurice: War in an Age of Gentlemen and Philosophers – 1690-1790,10,8.240000
The Quest for El Dorado: The Golden Temples,54,8.237963
Armageddon War: Platoon Level Combat in the End War,37,8.237838
"Schutztruppe: East African Guerilla Warfare, 1914-1918",8,8.237500
Virgin Queen,66,8.237121
Endeavor: Age of Sail,84,8.237024
Russia Besieged: Deluxe Edition,23,8.234783
Warhammer Quest: Shadows Over Hammerhal,31,8.232258
"High Tide: The Cold War, 1980-1989 – A Decade of Naval Confrontation",13,8.230769
Escape the Dark Castle,83,8.228916
People-Person!,9,8.227778
Paper 'Mech,11,8.227273
Hull Breach: Loyalty & Vigilance,11,8.227273
Advanced Squad Leader,83,8.225904
Star Wars: Rebellion,82,8.224390
Dealer's Choice: The Complete Handbook of Saturday Night Poker,9,8.222222
DETHRONED: The Real-Time Combat Card Game,9,8.222222
RUMBLESLAM,36,8.222222
Field of Battle,9,8.222222
Dungeon Degenerates: Hand of Doom,76,8.221711
Pax Renaissance,68,8.221029
Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,50,8.221000
Korea: The Forgotten War,58,8.219828
Eila and Something Shiny,16,8.218750
Europe in Turmoil: Prelude to the Great War,49,8.218367
Aeon's End,75,8.217333
Query,12,8.216667
"Nightfighter Ace: Air Defense Over Germany, 1943-44",50,8.216000
Zagor: Odissea Americana,7,8.214286
Euronimoes,14,8.214286
Bitter Woods (Fourth Edition): Expansion Kit,15,8.213333
The Comprehensive Guide to Board Wargaming,19,8.210526
Advanced Squad Leader: Starter Kit Expansion Pack #1,52,8.209615
Plague Inc.: The Board Game,73,8.208219
Brass: Lancashire,82,8.208171
Wir sind das Volk!,75,8.208000
King of Tokyo: Dark Edition,56,8.207679
Old School Tactical: Volume 1 – Fighting on the Eastern Front 1941/42,66,8.207576
Lion Rampant: Medieval Wargaming Rules,28,8.207143
Build A Cure,22,8.204545
Slither,34,8.204412
EastFront: The War in Russia 1941-45 – Second Edition,76,8.203947
Ecosystem,38,8.202632
Napoleon's Last Gamble: Battles of the Hundred Days,39,8.202564
D-Day at Tarawa,54,8.201852
