"1066, Tears To Many Mothers",348.69555,51,6.837168
1066: End of the Dark Ages,115.50000,18,6.416667
11 Kings,6.00000,1,6.000000
11 de Setembre. Setge 1714,101.30000,17,5.958824
11 nimmt!,518.19110,82,6.319404
111: Alarm dla Warszawy,104.40000,16,6.525000
12 Days,525.85000,79,6.656329
12 Days of Christmas,319.500,52,6.144231
12 O'Clock High,18.000,4,4.500000
12 O'Clock High Card Game,13.000,4,3.250000
12 Patrols,168.100,25,6.724000
12 Realms,333.600,58,5.751724
12 Thieves,482.450,77,6.265584
13 Chefs,69.800,13,5.369231
13 Clues,404.700,63,6.423810
13 Days: The Cuban Missile Crisis,533.140,73,7.303288
13 Dead End Drive,393.300,67,5.870149
13 Ghosts,159.000,23,6.913043
"13 Minutes: The Cuban Missile Crisis, 1962",377.354,60,6.289233
13 Sheep,127.800,20,6.390000
1313 Dead End Drive,392.100,71,5.522535
13: The Colonies in Revolt,175.880,31,5.673548
15,106.000,18,5.888889
15 Dias: The Spanish Golden Age,100.000,19,5.263158
15 Love,20.000,5,4.000000
1500 Gold,54.000,10,5.400000
1500 m,104.570,15,6.971333
1500: The New World,68.00,13,5.230769
16!,6.00,1,6.000000
1655: Habemus Papam,419.20,70,5.988571
1672: The Lost Crew,85.00,13,6.538462
17!,31.00,6,5.166667
1714: The Case of the Catalans,530.35,81,6.547531
1754: Conquest – The French and Indian War,515.00,66,7.803030
1759:  The Siege of Quebec,212.20,29,7.317241
1761: From Canal to Rail,69.50,11,6.318182
1775: Rebellion,635.81,83,7.660361
1776: The Birth Of A Nation,38.50,9,4.277778
1776: The Game of the American Revolutionary War,404.90,61,6.637705
1777: The Year of the Hangman,158.80,23,6.904348
1792: La Patrie en Danger,67.50,9,7.500000
1800,190.65,30,6.355000
1805: Sea of Glory,358.95,52,6.902885
1806: Rossbach Avenged,212.39,31,6.851290
1812: Les Arapiles,11.00,2,5.500000
1812: The Campaign of Napoleon in Russia,190.00,27,7.037037
1812: The Cradle of Steam Railways,162.50,24,6.770833
1812: The Invasion of Canada,592.50,82,7.225610
1813: Napoleon's Nemesis,101.45,13,7.803846
1815: The Waterloo Campaign,239.00,36,6.638889
1817,616.80,71,8.687324
1822: The Railways of Great Britain,458.99,55,8.345273
1824: Austria-Hungary,330.60,44,7.513636
1824: Austrian-Hungarian Railway (Second Edition),186.30,25,7.452000
1825 Extension Kit K1: Supplementary Tiles,139.50,19,7.342105
1825 Extension Kit K2: Advanced Trains,75.50,11,6.863636
1825 Extension Kit K3: Phase Four,70.00,10,7.000000
1825 Extension Kit K5: Minor Companies for Unit 2,123.50,17,7.264706
1825 Extension Kit K6: Advanced Tiles,78.00,11,7.090909
"1825 Extension Kit K7: London, Tilbury and Southend Railway",91.00,12,7.583333
1825 Regional Kit R1: Wales,104.00,15,6.933333
1825 Regional Kit R2: South West England,88.50,12,7.375000
1825 Regional Kit R3: North Norfolk,108.50,15,7.233333
1825 Unit 1,485.20,72,6.738889
1825 Unit 2,448.80,59,7.606780
1825 Unit 3,466.90,61,7.654098
1826: Railroading in France and Belgium from 1826,305.75,42,7.279762
1828,163.30,20,8.165000
1829,412.30,60,6.871667
1829 Conversion Kit,13.00,2,6.500000
1830 Cardgame,168.75,27,6.250000
1830: Railways & Robber Barons,579.48,72,8.048333
1831,104.00,14,7.428571
1832: The South,199.10,27,7.374074
1834,75.70,10,7.570000
1835,510.75,75,6.810000
1841,576.10,73,7.891781
1842: Schleswig Holstein,19.70,3,6.566667
1843,138.65,18,7.702778
1844: Schweiz,392.65,46,8.535870
1846: The Race for the Midwest,647.96,80,8.099500
1847: Pfalz,66.75,9,7.416667
1848,32.50,8,4.062500
1848: Australia,357.20,46,7.765217
1849: The Game of Sicilian Railways,582.75,70,8.325000
1853,437.35,65,6.728462
1854,248.79,33,7.539091
1856: Railroading in Upper Canada from 1856,544.750,73,7.462329
1857,274.200,37,7.410811
1858: The Railways of Iberia,78.100,12,6.508333
1860: Railways on the Isle of Wight,568.130,72,7.890694
1861,47.800,7,6.828571
1861: The Railways of the Russian Empire,490.800,67,7.325373
1862,106.000,23,4.608696
1862: Railway Mania in the Eastern Counties,455.680,57,7.994386
1863,114.300,22,5.195455
1864: Year of Decision,27.000,4,6.750000
1865: Sardinia,336.700,46,7.319565
1867: Railways of Canada,79.500,11,7.227273
1868,70.500,11,6.409091
1869: USA West,43.500,6,7.250000
1870,68.500,11,6.227273
1870: Grand Tactical Rules for the Franco-Prussian War,42.000,5,8.400000
1870: Railroading across the Trans Mississippi from 1870,566.550,79,7.171519
1876,63.000,11,5.727273
1876 Centennial Baseball,14.000,3,4.666667
1880: China,612.203,76,8.055303
1881: Das Berliner Strassenbahnspiel,51.000,8,6.375000
1883,95.000,14,6.785714
1886,124.400,18,6.911111
1889: History of Shikoku Railways,708.680,86,8.240465
1893: Cologne,65.200,9,7.244444
1895 Namibia,155.750,24,6.489583
1899,73.500,12,6.125000
18AL,529.750,72,7.357639
18Africa,115.500,17,6.794118
18C2C: Manifest Destiny,303.500,41,7.402439
18CLE,61.000,8,7.625000
18CZ,509.980,67,7.611642
18Chesapeake,458.433,57,8.042684
18EC: USA East Coast,17.000,2,8.500000
18EU,557.400,77,7.238961
18EZ,218.024,36,6.056222
18FL,442.550,63,7.024603
18FR,45.750,7,6.535714
18GA,481.100,66,7.289394
18GB: The Railways of Great Britain,93.920,12,7.826667
18GL,229.750,30,7.658333
